,keyword,tfidf_score
1915,모델,1.764281443613747
1546,라디오,1.7642638396406696
2369,베이커리,1.760570700664139
3178,수식어,1.7586298903530126
6656,희망,1.7584158978273499
3261,스탈린,1.7574562883173965
4049,올해,1.75703780725547
2518,부탁,1.7514534404852184
6536,화가,1.7499437838122933
4092,외출,1.7498581510434779
808,기록,1.7422060009136071
3602,안나,1.739997434670217
4897,전염병,1.7392242445855541
5039,제안,1.7376818272911523
5757,크레타,1.7370581320582494
444,고뇌,1.736130353661475
1493,두근두근,1.7345028248855472
5950,파랑,1.7336442083944694
392,경기,1.7311225183150634
3082,소식,1.7308266873763751
2425,보물,1.7274949177973578
4158,우시,1.7253300032730854
2398,병리,1.723313515202238
1881,면접,1.7194016510821284
4709,자와,1.7157900657748058
2880,샤를,1.7152744336450318
1733,마법,1.7084123332477879
4429,이든,1.7060794502690646
894,김애란,1.7018340834013777
5922,트레이너,1.7016649681490916
4255,위선,1.7002712350028022
5117,종의,1.696586991647567
305,거리,1.6928505871099815
3512,아내,1.6928104616601463
5072,조선,1.6909225495026443
1936,모순,1.6889139116553316
2446,보통,1.6865478047536175
4261,위저드,1.6823784306150642
1911,모녀,1.6707025255239252
599,괜찮아,1.6679080753329973
2521,부합,1.6661984005592139
118,5월,1.6648564686081686
231,감동,1.6637256883607037
1966,목차,1.6634528238406943
4208,원문,1.6616867963297377
1570,랭던,1.6601843173941393
2998,성화,1.65874224808165
6150,플러스,1.6543277734003508
2148,밑바닥,1.6537976184299752
4849,적의,1.6503253327102814
2183,박사,1.6485083748927165
6539,화법,1.6472150862596393
3531,아름,1.6455676563260286
938,꼰대,1.6438094201391231
5796,타박,1.6406108237287582
4438,이름,1.6344068702943149
2890,서문,1.6341821185971914
5533,최인훈,1.6320973329772788
2755,사장,1.6313243123267054
751,그물,1.630343290939472
2836,상실의,1.6300755252181571
2659,빌리,1.6245433747836069
1406,도청,1.6238568741970822
4962,정대,1.6238568741970822
5318,진학,1.623195044755962
146,가난,1.6228139312454877
3546,아빠,1.6188439867262578
4353,윤옥,1.6165677906085987
1902,명작,1.613593527385493
5113,종교,1.609929723961474
3676,야간,1.6092370468814214
5509,초판,1.6036898492013978
4691,자문,1.6025147948119454
741,그룹,1.601959802556875
532,공부,1.6009861763712636
1177,니코스,1.6005430223834174
2160,바보,1.5973575508770703
3084,소양,1.5961859674656729
2522,부호,1.5872608376393922
5522,최다,1.5872608376393922
3502,쓰임,1.5872608376393922
4840,저작권,1.5872608376393922
67,2020년대,1.5872608376393922
5192,줄임표,1.5872608376393922
6066,포크너,1.5872608376393922
4985,정영목,1.5872608376393922
5435,철강,1.5810451464072854
4864,전대,1.5810451464072854
5665,카페,1.5796449499038419
2834,상실,1.578550456089781
1130,누나,1.57746733499856
6162,피디,1.5752944071827901
618,교육,1.5752265089173108
4742,작품집,1.5737605092962033
3772,에드워드,1.5702653700415232
4745,잘못,1.5666927485058526
5106,존재,1.5663601697550527
3214,순례,1.565577515779486
3231,쉼표,1.5649196671352845
69,2023년,1.5649196671352845
1833,맥락,1.5649196671352845
3833,여정,1.5644139298099424
6673,힐링,1.5626406558074115
